rc,0.00,10.00,20.00,30.00,40.00,50.00,60.00,70.00,80.00,90.00,100.00
ET @ Rho = .1,0.00,10800.00,151200.00,695353.85,2024228.57,4590000.00,8893800.00,15471317.65,24883200.00,37708484.21,54540000.00
ET @ Rho = .2,0.00,13745.45,172800.00,762646.15,2172342.86,4860000.00,9331200.00,16125035.29,25804800.00,38951621.05,56160000.00
ET @ Rho = .3,0.00,18654.55,208800.00,874800.00,2419200.00,5310000.00,10060200.00,17214564.71,27340800.00,41023515.79,58860000.00
ET @ Rho = .4,0.00,25527.27,259200.00,1031815.38,2764800.00,5940000.00,11080800.00,18739905.88,29491200.00,43924168.42,62640000.00
ET @ Rho = .5,0.00,34363.64,324000.00,1233692.31,3209142.86,6750000.00,12393000.00,20701058.82,32256000.00,47653578.95,67500000.00
ET @ Rho = .6,0.00,45163.64,403200.00,1480430.77,3752228.57,7740000.00,13996800.00,23098023.53,35635200.00,52211747.37,73440000.00
ET @ Rho = .7,0.00,57927.27,496800.00,1772030.77,4394057.14,8910000.00,15892200.00,25930800.00,39628800.00,57598673.68,80460000.00
ET @ Rho = .8,0.00,72654.55,604800.00,2108492.31,5134628.57,10260000.00,18079200.00,29199388.24,44236800.00,63814357.89,88560000.00
ET @ Rho = .9,0.00,89345.45,727200.00,2489815.38,5973942.86,11790000.00,20557800.00,32903788.24,49459200.00,70858800.00,97740000.00
ET @ Rho = 1,0.00,108000.00,864000.00,2916000.00,6912000.00,13500000.00,23328000.00,37044000.00,55296000.00,78732000.00,108000000.00
Us,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
ts,0.00,981.82,1800.00,2492.31,3085.71,3600.00,4050.00,4447.06,4800.00,5115.79,5400.00
Ts,10800.00,9818.18,9000.00,8307.69,7714.29,7200.00,6750.00,6352.94,6000.00,5684.21,5400.00