0,0,0,0,0,0,0,0,0,0,0
3.539,0.1032,0.1147,0.129,0.1475,0.1721,0.2066,0.2584,0.3448,0.5182,1.0421
17.693,0.9923,1.1027,1.2408,1.3183,1.3316,1.9869,2.485,3.3163,4.9837,10.0227
35.386,1.0505,1.1673,1.3135,1.5014,1.7521,2.1033,2.6305,3.5106,5.2756,10.6098
70.771,1.2036,1.3375,1.505,1.7203,2.0075,2.1099,3.014,4.0224,6.0447,12.1567
106.157,1.3289,1.4768,1.6016,1.8994,2.0706,2.2608,3.3279,4.4412,6.6741,12.4224
141.543,1.3353,1.5061,1.6196,1.9943,2.1181,2.3074,3.8446,5.1308,6.7104,12.5064
176.929,1.4352,1.6272,1.6445,2.1654,2.2022,2.4732,3.9932,5.2128,7.2034,12.4758
212.314,1.4731,1.7259,1.7369,2.1962,2.2901,2.5492,4.2384,5.5888,7.8959,13.8683
247.7,1.5372,1.7859,1.7719,2.2111,2.2302,2.5773,4.3484,5.6686,7.7153,13.5052
283.086,1.6634,1.8404,1.897,2.238,2.2525,2.5297,5.6138,5.7223,8.3451,13.7607
318.471,1.7311,1.9014,1.9144,2.33,2.3433,3.0656,5.7341,5.9169,8.6894,15.4643
353.857,1.8642,2.116,2.2058,2.4498,2.5511,3.7315,5.9163,6.5592,8.8514,15.7789